FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
38;100;100;14:49:59:862;1.72;0.61
39;100;100;14:50:00:011;1.68;0.66
40;100;100;14:50:00:081;1.84;0.69
41;100;100;14:50:00:161;1.90;0.71
42;100;100;14:50:00:291;1.68;0.76
43;100;100;14:50:00:392;1.80;0.81
44;100;100;14:50:00:411;1.82;0.82
45;100;100;14:50:00:571;1.84;0.87
46;100;100;14:50:00:701;1.62;0.92
47;100;100;14:50:00:711;1.73;0.92
48;100;100;14:50:00:812;1.77;0.97
49;100;100;14:50:00:966;1.86;1.02
50;100;100;14:50:01:017;2.03;1.04
51;100;100;14:50:01:107;1.98;1.07
52;100;100;14:50:01:261;2.12;1.12
53;100;100;14:50:01:326;2.25;1.14
54;100;100;14:50:01:442;2.32;1.17
55;100;100;14:50:01:631;2.37;1.20
56;100;100;14:50:01:751;2.46;1.22
57;100;100;14:50:01:937;2.48;1.25
58;100;100;14:50:02:156;2.59;1.27
59;100;100;14:50:02:241;2.74;1.28
60;100;100;14:50:02:541;2.72;1.31
61;100;100;14:50:02:841;2.73;1.32
62;100;100;14:50:03:071;2.67;1.32
63;100;100;14:50:03:147;2.82;1.33
64;100;100;14:50:03:446;2.88;1.34
65;100;100;14:50:03:746;2.79;1.34
66;100;100;14:50:04:046;2.84;1.35
67;100;100;14:50:04:347;2.78;1.36
68;100;100;14:50:04:456;3.00;1.36
69;100;100;14:50:04:652;2.94;1.37
70;100;100;14:50:04:951;2.93;1.37
71;100;100;14:50:05:017;2.82;1.38
72;100;100;14:50:05:256;2.92;1.38
73;100;100;14:50:05:557;3.06;1.39
74;100;100;14:50:05:857;3.17;1.39
75;100;100;14:50:06:156;3.01;1.40
76;100;100;14:50:06:456;3.02;1.40
77;100;100;14:50:06:756;2.87;1.41
78;100;100;14:50:07:057;3.09;1.41
79;100;100;14:50:07:357;3.00;1.41
80;100;100;14:50:07:656;3.17;1.42
81;100;100;14:50:07:956;3.18;1.42
82;100;100;14:50:07:982;2.93;1.43
83;100;100;14:50:08:262;3.14;1.43
84;100;100;14:50:08:562;3.21;1.43
85;100;100;14:50:08:862;3.18;1.43
86;100;100;14:50:09:161;3.28;1.44
87;100;100;14:50:09:461;3.24;1.44
88;100;100;14:50:09:762;3.25;1.45
89;100;100;14:50:10:062;3.21;1.46
90;100;100;14:50:10:291;3.06;1.48
91;100;100;14:50:10:366;2.41;1.51
92;100;100;14:50:10:392;2.35;1.53
93;100;100;14:50:10:501;2.44;1.58
94;100;100;14:50:10:616;2.51;1.63
95;100;100;14:50:10:682;2.82;1.66
96;100;100;14:50:10:756;2.88;1.68
97;100;100;14:50:10:897;2.84;1.73
98;100;100;14:50:10:991;2.95;1.75
99;100;100;14:50:11:062;2.61;1.78
100;100;100;14:50:11:166;2.78;1.83
101;100;100;14:50:11:272;2.85;1.88
102;100;100;14:50:11:307;2.79;1.90
103;100;100;14:50:11:397;2.84;1.93
104;100;100;14:50:11:531;3.00;1.99

a9
A9_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:56:32:430;1.45;0.00
2;100;100;14:56:32:658;1.40;0.00
3;100;100;14:56:32:958;1.29;0.00
4;100;100;14:56:33:258;1.28;0.00
5;100;100;14:56:33:558;1.60;0.00
6;100;100;14:56:33:858;1.49;0.00
7;100;100;14:56:34:158;1.67;0.00
8;100;100;14:56:34:458;1.56;0.00
9;100;100;14:56:34:758;1.55;0.00
10;100;100;14:56:35:058;1.59;0.00
11;100;100;14:56:35:358;1.57;0.00
12;100;100;14:56:35:658;1.78;0.00
13;100;100;14:56:35:958;1.70;0.00
14;100;100;14:56:36:258;1.81;0.00
15;100;100;14:56:36:558;1.82;0.00
16;100;100;14:56:36:858;1.61;0.00
17;100;100;14:56:37:158;1.82;0.01
18;100;100;14:56:37:458;1.81;0.01
19;100;100;14:56:37:758;1.92;0.02
20;100;100;14:56:38:058;1.94;0.03
21;100;100;14:56:38:358;1.87;0.04
22;100;100;14:56:38:438;1.84;0.05
23;100;100;14:56:38:663;1.90;0.06
24;100;100;14:56:38:963;1.84;0.08
25;100;100;14:56:39:153;1.75;0.10
26;100;100;14:56:39:268;1.75;0.11
27;100;100;14:56:39:513;1.70;0.15
28;100;100;14:56:39:573;1.80;0.16
29;100;100;14:56:39:838;1.83;0.20
30;100;100;14:56:39:878;1.81;0.20
31;100;100;14:56:40:163;1.74;0.25
32;100;100;14:56:40:183;1.75;0.25
33;100;100;14:56:40:383;1.86;0.30
34;100;100;14:56:40:488;1.95;0.32
35;100;100;14:56:40:548;1.96;0.35
36;100;100;14:56:40:793;1.66;0.39
37;100;100;14:56:40:873;1.66;0.40
38;100;100;14:56:41:008;1.66;0.45
39;100;100;14:56:41:103;1.74;0.49
40;100;100;14:56:41:133;1.83;0.50
41;100;100;14:56:41:333;1.78;0.55
42;100;100;14:56:41:413;1.74;0.58
43;100;100;14:56:41:488;1.76;0.60
44;100;100;14:56:41:638;1.78;0.65
45;100;100;14:56:41:723;1.74;0.68
46;100;100;14:56:41:778;1.72;0.70
47;100;100;14:56:41:903;1.73;0.75
48;100;100;14:56:42:033;1.84;0.79
49;100;100;14:56:42:078;1.77;0.80
50;100;100;14:56:42:233;1.73;0.86
51;100;100;14:56:42:343;1.87;0.91
52;100;100;14:56:42:348;1.70;0.91
53;100;100;14:56:42:498;1.87;0.96
54;100;100;14:56:42:633;1.88;1.01
55;100;100;14:56:42:658;1.92;1.02
56;100;100;14:56:42:798;2.11;1.06
57;100;100;14:56:42:953;2.10;1.11
58;100;100;14:56:42:968;2.11;1.12
59;100;100;14:56:43:168;2.26;1.16
60;100;100;14:56:43:273;2.32;1.19
61;100;100;14:56:43:368;2.41;1.21
62;100;100;14:56:43:578;2.57;1.26
63;100;100;14:56:43:653;2.43;1.26
64;100;100;14:56:43:883;2.47;1.29
65;100;100;14:56:44:003;2.54;1.32
66;100;100;14:56:44:188;2.56;1.34
67;100;100;14:56:44:453;2.87;1.36
68;100;100;14:56:44:493;2.80;1.36
69;100;100;14:56:44:518;2.66;1.37
70;100;100;14:56:44:798;2.72;1.37
71;100;100;14:56:45:098;2.56;1.40
72;100;100;14:56:45:148;2.38;1.42
73;100;100;14:56:45:273;2.03;1.47
74;100;100;14:56:45:383;1.90;1.52
75;100;100;14:56:45:413;2.02;1.53
76;100;100;14:56:45:493;2.09;1.57
77;100;100;14:56:45:603;2.05;1.62
78;100;100;14:56:45:703;2.09;1.67
79;100;100;14:56:45:728;2.09;1.67
80;100;100;14:56:45:828;2.07;1.72

b1
B1_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:01:37:613;1.40;0.00
2;100;100;15:01:37:843;1.50;0.00
3;100;100;15:01:38:143;1.45;0.00
4;100;100;15:01:38:443;1.66;0.00
5;100;100;15:01:38:743;1.57;0.00
6;100;100;15:01:39:043;1.49;0.00
7;100;100;15:01:39:343;1.59;0.00
8;100;100;15:01:39:643;1.66;0.00
9;100;100;15:01:39:943;1.78;0.00
10;100;100;15:01:40:243;1.68;0.00
11;100;100;15:01:40:543;1.60;0.00
12;100;100;15:01:40:843;1.80;0.00
13;100;100;15:01:41:143;1.77;0.00
14;100;100;15:01:41:443;1.87;0.00
15;100;100;15:01:41:743;1.81;0.01
16;100;100;15:01:42:043;1.75;0.01
17;100;100;15:01:42:343;1.87;0.02
18;100;100;15:01:42:643;1.90;0.04
19;100;100;15:01:42:823;1.70;0.05
20;100;100;15:01:42:948;1.80;0.06
21;100;100;15:01:43:248;2.00;0.09
22;100;100;15:01:43:393;1.89;0.10
23;100;100;15:01:43:553;1.82;0.11
24;100;100;15:01:43:823;1.82;0.15
25;100;100;15:01:43:858;1.70;0.15
26;100;100;15:01:44:158;1.75;0.20
27;100;100;15:01:44:183;1.91;0.20
28;100;100;15:01:44:463;1.78;0.23
29;100;100;15:01:44:588;1.70;0.25
30;100;100;15:01:44:758;1.80;0.30
31;100;100;15:01:44:773;1.70;0.31
32;100;100;15:01:44:988;1.68;0.35
33;100;100;15:01:45:078;1.74;0.37
34;100;100;15:01:45:198;1.95;0.40
35;100;100;15:01:45:353;1.90;0.46
36;100;100;15:01:45:388;1.73;0.46
37;100;100;15:01:45:563;1.72;0.51
38;100;100;15:01:45:693;1.76;0.54
39;100;100;15:01:45:733;1.80;0.56
40;100;100;15:01:45:888;1.81;0.61
41;100;100;15:01:46:003;1.76;0.65
42;100;100;15:01:46:058;1.76;0.66
43;100;100;15:01:46:178;1.75;0.71
44;100;100;15:01:46:313;1.78;0.75
45;100;100;15:01:46:333;1.81;0.76
46;100;100;15:01:46:438;1.73;0.81
47;100;100;15:01:46:623;1.84;0.85
48;100;100;15:01:46:633;1.70;0.86
49;100;100;15:01:46:698;1.94;0.91
50;100;100;15:01:46:818;1.95;0.96
51;100;100;15:01:46:938;1.91;1.00
52;100;100;15:01:46:978;1.96;1.01
53;100;100;15:01:47:153;2.17;1.06
54;100;100;15:01:47:248;2.32;1.09
55;100;100;15:01:47:373;2.33;1.11
56;100;100;15:01:47:553;2.56;1.14
57;100;100;15:01:47:693;2.65;1.16
58;100;100;15:01:47:858;2.60;1.18
59;100;100;15:01:48:158;2.72;1.20
60;100;100;15:01:48:458;2.58;1.21
61;100;100;15:01:48:518;2.67;1.21
62;100;100;15:01:48:763;2.84;1.22
63;100;100;15:01:49:063;2.68;1.22
64;100;100;15:01:49:363;2.73;1.23
65;100;100;15:01:49:663;2.88;1.23
66;100;100;15:01:49:963;2.92;1.24
67;100;100;15:01:50:263;2.90;1.25
68;100;100;15:01:50:563;2.79;1.25
69;100;100;15:01:50:863;2.86;1.26
70;100;100;15:01:51:163;3.05;1.26
71;100;100;15:01:51:358;3.12;1.26
72;100;100;15:01:51:398;3.02;1.26
73;100;100;15:01:51:473;2.99;1.26
74;100;100;15:01:51:773;2.85;1.27
75;100;100;15:01:52:073;2.99;1.28
76;100;100;15:01:52:373;3.08;1.28
77;100;100;15:01:52:673;3.08;1.29
78;100;100;15:01:52:973;3.06;1.29
79;100;100;15:01:53:273;2.95;1.30
80;100;100;15:01:53:573;3.17;1.30
81;100;100;15:01:53:873;3.23;1.31
82;100;100;15:01:54:018;3.18;1.31
83;100;100;15:01:54:178;3.13;1.32
84;100;100;15:01:54:478;3.31;1.33
85;100;100;15:01:54:778;3.21;1.34
86;100;100;15:01:55:078;3.14;1.35
87;100;100;15:01:55:378;3.15;1.35
88;100;100;15:01:55:678;3.34;1.36
89;100;100;15:01:55:848;3.08;1.36
90;100;100;15:01:55:983;3.25;1.37
91;100;100;15:01:56:283;3.36;1.37
92;100;100;15:01:56:583;3.35;1.38
93;100;100;15:01:56:883;3.41;1.39
94;100;100;15:01:57:183;3.35;1.39
95;100;100;15:01:57:483;3.37;1.40
96;100;100;15:01:57:783;3.53;1.41
97;100;100;15:01:58:018;3.46;1.41
98;100;100;15:01:58:088;3.37;1.42
99;100;100;15:01:58:388;3.51;1.43
100;100;100;15:01:58:688;3.66;1.43
101;100;100;15:01:58:988;3.49;1.44
102;100;100;15:01:59:288;3.55;1.45
103;100;100;15:01:59:588;3.58;1.46
104;100;100;15:01:59:648;3.52;1.47
105;100;100;15:01:59:893;3.63;1.47
106;100;100;15:02:00:193;3.61;1.48
107;100;100;15:02:00:493;3.70;1.49
108;100;100;15:02:00:793;3.86;1.51
109;100;100;15:02:00:833;3.86;1.52
110;100;100;15:02:01:098;3.77;1.53
111;100;100;15:02:01:398;3.88;1.54
112;100;100;15:02:01:698;3.84;1.56
113;100;100;15:02:01:923;3.98;1.57
114;100;100;15:02:02:003;3.88;1.57
115;100;100;15:02:02:303;3.85;1.58
116;100;100;15:02:02:603;3.88;1.59
117;100;100;15:02:02:833;3.91;1.62
118;100;100;15:02:02:908;3.98;1.62
119;100;100;15:02:03:208;3.92;1.64
120;100;100;15:02:03:508;3.93;1.66
121;100;100;15:02:03:633;3.88;1.67
122;100;100;15:02:03:803;2.73;1.72
123;100;100;15:02:03:818;2.71;1.73
124;100;100;15:02:03:863;2.88;1.77
125;100;100;15:02:03:973;3.03;1.82
126;100;100;15:02:04:038;3.23;1.87
127;100;100;15:02:04:123;3.16;1.93
128;100;100;15:02:04:138;3.24;1.93
129;100;100;15:02:04:243;3.33;1.98
130;100;100;15:02:04:318;3.07;2.03
131;100;100;15:02:04:413;3.16;2.09
132;100;100;15:02:04:453;3.16;2.11

b2
B2_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:08:12:703;1.75;0.00
2;100;100;15:08:13:075;1.54;0.00
3;100;100;15:08:13:375;1.70;0.00
4;100;100;15:08:13:675;1.61;0.00
5;100;100;15:08:13:975;1.84;0.00
6;100;100;15:08:14:275;1.84;0.00
7;100;100;15:08:14:575;1.75;0.00
8;100;100;15:08:14:875;1.86;0.00
9;100;100;15:08:15:175;1.68;0.00
10;100;100;15:08:15:475;1.86;0.00
11;100;100;15:08:15:775;1.82;0.01
12;100;100;15:08:16:075;1.96;0.02
13;100;100;15:08:16:375;1.97;0.03
14;100;100;15:08:16:645;1.87;0.05
15;100;100;15:08:16:680;1.75;0.05
16;100;100;15:08:16:980;1.83;0.08
17;100;100;15:08:17:280;1.82;0.09
18;100;100;15:08:17:335;1.77;0.10
19;100;100;15:08:17:585;1.75;0.15
20;100;100;15:08:17:590;1.86;0.15
21;100;100;15:08:17:880;1.80;0.20
22;100;100;15:08:17:895;1.72;0.20
23;100;100;15:08:18:165;1.84;0.25
24;100;100;15:08:18:200;1.91;0.26
25;100;100;15:08:18:360;1.77;0.30
26;100;100;15:08:18:505;1.83;0.33
27;100;100;15:08:18:620;1.81;0.35
28;100;100;15:08:18:810;1.69;0.40
29;100;100;15:08:18:820;1.80;0.40
30;100;100;15:08:19:000;1.87;0.46
31;100;100;15:08:19:120;1.76;0.49
32;100;100;15:08:19:180;1.77;0.51
33;100;100;15:08:19:360;1.78;0.56
34;100;100;15:08:19:430;1.75;0.58
35;100;100;15:08:19:525;1.88;0.61
36;100;100;15:08:19:640;1.98;0.66
37;100;100;15:08:19:740;1.84;0.68
38;100;100;15:08:19:885;1.80;0.71
39;100;100;15:08:19:960;1.89;0.76
40;100;100;15:08:20:050;1.94;0.80
41;100;100;15:08:20:090;1.91;0.81
42;100;100;15:08:20:260;1.89;0.86
43;100;100;15:08:20:360;1.98;0.90
44;100;100;15:08:20:385;1.92;0.91
45;100;100;15:08:20:525;2.02;0.96
46;100;100;15:08:20:670;2.29;1.01
47;100;100;15:08:20:675;2.10;1.01
48;100;100;15:08:20:875;2.29;1.06
49;100;100;15:08:20:980;2.47;1.08
50;100;100;15:08:21:240;2.47;1.11
51;100;100;15:08:21:285;2.46;1.12
52;100;100;15:08:21:585;2.58;1.15
53;100;100;15:08:21:800;2.68;1.16
54;100;100;15:08:21:890;2.67;1.17
55;100;100;15:08:22:190;2.59;1.19
56;100;100;15:08:22:490;2.68;1.21
57;100;100;15:08:22:615;2.74;1.21
58;100;100;15:08:22:795;2.78;1.22
59;100;100;15:08:23:095;2.85;1.23
60;100;100;15:08:23:395;2.75;1.24
61;100;100;15:08:23:695;2.84;1.24
62;100;100;15:08:23:995;2.88;1.25
63;100;100;15:08:24:295;2.99;1.25
64;100;100;15:08:24:380;3.06;1.26
65;100;100;15:08:24:480;2.95;1.26
66;100;100;15:08:24:605;2.96;1.27
67;100;100;15:08:24:905;3.05;1.27
68;100;100;15:08:25:205;2.94;1.28
69;100;100;15:08:25:505;2.96;1.28
70;100;100;15:08:25:805;2.92;1.29
71;100;100;15:08:26:105;3.03;1.30
72;100;100;15:08:26:405;3.07;1.31
73;100;100;15:08:26:530;3.12;1.31
74;100;100;15:08:26:710;3.00;1.32
75;100;100;15:08:27:010;2.99;1.32
76;100;100;15:08:27:310;3.17;1.33
77;100;100;15:08:27:610;3.30;1.33
78;100;100;15:08:27:910;3.17;1.34
79;100;100;15:08:28:210;3.25;1.36
80;100;100;15:08:28:275;3.06;1.36
81;100;100;15:08:28:515;3.25;1.37
82;100;100;15:08:28:815;3.29;1.38
83;100;100;15:08:29:115;3.27;1.39
84;100;100;15:08:29:415;3.33;1.41
85;100;100;15:08:29:685;3.23;1.41
86;100;100;15:08:29:720;3.27;1.41
87;100;100;15:08:30:020;3.49;1.42
88;100;100;15:08:30:320;3.29;1.43
89;100;100;15:08:30:620;3.34;1.44
90;100;100;15:08:30:920;3.41;1.45
91;100;100;15:08:31:005;3.49;1.46
92;100;100;15:08:31:225;3.53;1.48
93;100;100;15:08:31:525;3.45;1.49
94;100;100;15:08:31:825;3.36;1.50
95;100;100;15:08:31:965;3.62;1.51
96;100;100;15:08:32:130;3.51;1.53
97;100;100;15:08:32:430;3.55;1.55
98;100;100;15:08:32:730;3.43;1.56
99;100;100;15:08:32:910;3.57;1.56
100;100;100;15:08:33:035;3.70;1.57
101;100;100;15:08:33:335;3.61;1.59
102;100;100;15:08:33:635;3.61;1.61
103;100;100;15:08:33:645;3.57;1.61
104;100;100;15:08:33:940;3.64;1.64
105;100;100;15:08:34:240;3.84;1.66
106;100;100;15:08:34:340;3.83;1.66
107;100;100;15:08:34:545;3.71;1.67
108;100;100;15:08:34:845;3.76;1.69
109;100;100;15:08:34:930;2.50;1.71
110;100;100;15:08:34:990;2.44;1.77
111;100;100;15:08:35:070;2.54;1.82
112;100;100;15:08:35:150;2.54;1.87
113;100;100;15:08:35:165;2.78;1.88
114;100;100;15:08:35:235;2.88;1.92
115;100;100;15:08:35:320;3.00;1.97
116;100;100;15:08:35:415;3.06;2.02
117;100;100;15:08:35:480;3.02;2.06
118;100;100;15:08:35:500;2.93;2.07

b3
B3_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:14:19:421;1.59;0.00
2;100;100;15:14:19:806;1.72;0.00
3;100;100;15:14:20:106;1.70;0.00
4;100;100;15:14:20:406;1.57;0.00
5;100;100;15:14:20:706;1.72;0.00
6;100;100;15:14:21:006;1.57;0.00
7;100;100;15:14:21:306;1.89;0.00
8;100;100;15:14:21:606;1.82;0.00
9;100;100;15:14:21:906;1.73;0.01
10;100;100;15:14:22:206;1.80;0.01
11;100;100;15:14:22:506;1.72;0.03
12;100;100;15:14:22:806;1.86;0.04
13;100;100;15:14:22:941;1.84;0.05
14;100;100;15:14:23:111;1.77;0.06
15;100;100;15:14:23:411;1.86;0.07
16;100;100;15:14:23:711;1.92;0.09
17;100;100;15:14:23:851;1.74;0.10
18;100;100;15:14:24:016;1.80;0.12
19;100;100;15:14:24:316;1.81;0.14
20;100;100;15:14:24:356;1.72;0.15
21;100;100;15:14:24:621;1.74;0.19
22;100;100;15:14:24:796;1.77;0.20
23;100;100;15:14:24:926;1.84;0.22
24;100;100;15:14:25:051;1.94;0.25
25;100;100;15:14:25:231;1.87;0.29
26;100;100;15:14:25:296;1.80;0.30
27;100;100;15:14:25:536;1.83;0.35
28;100;100;15:14:25:551;1.78;0.35
29;100;100;15:14:25:721;1.77;0.41
30;100;100;15:14:25:846;1.78;0.44
31;100;100;15:14:25:956;1.80;0.46
32;100;100;15:14:26:151;1.80;0.51
33;100;100;15:14:26:156;1.70;0.51
34;100;100;15:14:26:316;1.77;0.56
35;100;100;15:14:26:461;1.66;0.60
36;100;100;15:14:26:476;1.95;0.61
37;100;100;15:14:26:656;1.74;0.66
38;100;100;15:14:26:771;1.76;0.70
39;100;100;15:14:26:791;1.80;0.71
40;100;100;15:14:26:896;1.78;0.76
41;100;100;15:14:27:081;1.88;0.80
42;100;100;15:14:27:131;1.78;0.81
43;100;100;15:14:27:216;1.96;0.86
44;100;100;15:14:27:326;1.70;0.91
45;100;100;15:14:27:396;1.76;0.94
46;100;100;15:14:27:471;1.88;0.96
47;100;100;15:14:27:611;2.02;1.01
48;100;100;15:14:27:706;2.07;1.04
49;100;100;15:14:27:781;2.27;1.07
50;100;100;15:14:27:981;2.32;1.12
51;100;100;15:14:28:016;2.32;1.13
52;100;100;15:14:28:241;2.35;1.17
53;100;100;15:14:28:321;2.51;1.17
54;100;100;15:14:28:621;2.51;1.19
55;100;100;15:14:28:896;2.57;1.22
56;100;100;15:14:28:926;2.74;1.22
57;100;100;15:14:29:226;2.66;1.23
58;100;100;15:14:29:526;2.75;1.25
59;100;100;15:14:29:826;2.94;1.26
60;100;100;15:14:30:126;2.85;1.26
61;100;100;15:14:30:226;2.81;1.27
62;100;100;15:14:30:431;2.82;1.27
63;100;100;15:14:30:506;3.07;1.27
64;100;100;15:14:30:736;2.86;1.28
65;100;100;15:14:31:036;2.76;1.29
66;100;100;15:14:31:336;2.95;1.30
67;100;100;15:14:31:636;3.01;1.31
68;100;100;15:14:31:936;2.88;1.31
69;100;100;15:14:32:071;2.92;1.32
70;100;100;15:14:32:241;3.07;1.32
71;100;100;15:14:32:541;3.03;1.33
72;100;100;15:14:32:841;3.01;1.33
73;100;100;15:14:33:141;2.95;1.34
74;100;100;15:14:33:441;3.05;1.34
75;100;100;15:14:33:741;3.16;1.35
76;100;100;15:14:34:041;3.09;1.35
77;100;100;15:14:34:341;3.22;1.36
78;100;100;15:14:34:641;3.03;1.36
79;100;100;15:14:34:726;3.17;1.37
80;100;100;15:14:34:946;3.29;1.37
81;100;100;15:14:35:246;3.03;1.38
82;100;100;15:14:35:546;3.20;1.39
83;100;100;15:14:35:846;3.25;1.39
84;100;100;15:14:36:146;3.29;1.40
85;100;100;15:14:36:446;3.35;1.41
86;100;100;15:14:36:596;3.30;1.42
87;100;100;15:14:36:751;3.39;1.42
88;100;100;15:14:37:051;3.38;1.43
89;100;100;15:14:37:351;3.35;1.43
90;100;100;15:14:37:651;3.33;1.44
91;100;100;15:14:37:951;3.37;1.45
92;100;100;15:14:38:251;3.50;1.46
93;100;100;15:14:38:381;3.38;1.47
94;100;100;15:14:38:556;3.30;1.48
95;100;100;15:14:38:856;3.53;1.49
96;100;100;15:14:39:156;3.63;1.50
97;100;100;15:14:39:456;3.64;1.52
98;100;100;15:14:39:491;3.49;1.52
99;100;100;15:14:39:761;3.62;1.53
100;100;100;15:14:40:061;3.65;1.54
101;100;100;15:14:40:361;3.77;1.55
102;100;100;15:14:40:661;3.59;1.56
103;100;100;15:14:40:736;3.69;1.57
104;100;100;15:14:40:966;3.78;1.59
105;100;100;15:14:41:266;3.72;1.60
106;100;100;15:14:41:566;3.71;1.62
107;100;100;15:14:41:581;3.82;1.62
108;100;100;15:14:41:871;3.83;1.64
109;100;100;15:14:42:171;3.78;1.66
110;100;100;15:14:42:406;3.87;1.67
111;100;100;15:14:42:476;3.82;1.67
112;100;100;15:14:42:776;3.88;1.69
113;100;100;15:14:43:076;3.82;1.71
114;100;100;15:14:43:136;3.90;1.72
115;100;100;15:14:43:381;4.04;1.75
116;100;100;15:14:43:681;3.90;1.76
117;100;100;15:14:43:736;3.90;1.77
118;100;100;15:14:43:986;4.14;1.78
119;100;100;15:14:44:216;2.79;1.82
120;100;100;15:14:44:276;2.85;1.87
121;100;100;15:14:44:296;3.01;1.89
122;100;100;15:14:44:361;2.89;1.92
123;100;100;15:14:44:451;2.96;1.98
124;100;100;15:14:44:541;3.01;2.03
125;100;100;15:14:44:611;3.17;2.08
126;100;100;15:14:44:616;3.07;2.08
127;100;100;15:14:44:706;3.23;2.13
128;100;100;15:14:44:781;3.27;2.18

x
x;0.000;0.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
