FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
112;100;100;14:19:11:055;2.95;1.62
113;100;100;14:19:11:171;2.74;1.67

a4
A4_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:28:50:496;1.62;0.00
2;100;100;14:28:50:660;1.53;0.00
3;100;100;14:28:50:960;1.68;0.00
4;100;100;14:28:51:260;1.69;0.00
5;100;100;14:28:51:560;1.77;0.00
6;100;100;14:28:51:860;1.72;0.00
7;100;100;14:28:52:160;1.75;0.00
8;100;100;14:28:52:460;1.76;0.00
9;100;100;14:28:52:760;1.74;0.00
10;100;100;14:28:53:060;1.94;0.00
11;100;100;14:28:53:360;1.96;0.00
12;100;100;14:28:53:660;1.91;0.00
13;100;100;14:28:53:960;1.84;0.00
14;100;100;14:28:54:260;1.84;0.00
15;100;100;14:28:54:560;1.92;0.01
16;100;100;14:28:54:860;1.96;0.02
17;100;100;14:28:55:160;1.95;0.03
18;100;100;14:28:55:435;1.89;0.05
19;100;100;14:28:55:465;1.87;0.05
20;100;100;14:28:55:765;1.82;0.08
21;100;100;14:28:55:945;1.78;0.10
22;100;100;14:28:56:070;1.77;0.12
23;100;100;14:28:56:235;1.76;0.15
24;100;100;14:28:56:375;1.94;0.18
25;100;100;14:28:56:505;1.75;0.20
26;100;100;14:28:56:680;1.82;0.24
27;100;100;14:28:56:805;1.92;0.25
28;100;100;14:28:56:960;1.96;0.30
29;100;100;14:28:56:990;1.78;0.31
30;100;100;14:28:57:160;1.77;0.36
31;100;100;14:28:57:295;1.70;0.40
32;100;100;14:28:57:360;1.83;0.41
33;100;100;14:28:57:555;1.77;0.46
34;100;100;14:28:57:605;1.74;0.49
35;100;100;14:28:57:655;1.76;0.51
36;100;100;14:28:57:850;1.84;0.56
37;100;100;14:28:57:915;1.97;0.58
38;100;100;14:28:58:025;1.90;0.61
39;100;100;14:28:58:220;2.10;0.65
40;100;100;14:28:58:255;2.09;0.66
41;100;100;14:28:58:520;2.17;0.71
42;100;100;14:28:58:530;2.27;0.71
43;100;100;14:28:58:830;2.38;0.76
44;100;100;14:28:58:835;2.40;0.76
45;100;100;14:28:59:135;2.41;0.79
46;100;100;14:28:59:435;2.44;0.80
47;100;100;14:28:59:735;2.56;0.81
48;100;100;14:28:59:785;2.46;0.81
49;100;100;14:29:00:040;2.57;0.82
50;100;100;14:29:00:150;2.85;0.83
51;100;100;14:29:00:345;2.79;0.84
52;100;100;14:29:00:645;2.72;0.84
53;100;100;14:29:00:945;2.78;0.86
54;100;100;14:29:01:105;2.68;0.86
55;100;100;14:29:01:250;2.81;0.87
56;100;100;14:29:01:550;2.86;0.87
57;100;100;14:29:01:850;2.82;0.88
58;100;100;14:29:02:150;2.82;0.89
59;100;100;14:29:02:450;2.73;0.90
60;100;100;14:29:02:750;2.82;0.91
61;100;100;14:29:02:845;2.92;0.91
62;100;100;14:29:03:055;2.80;0.92
63;100;100;14:29:03:355;2.90;0.93
64;100;100;14:29:03:655;2.93;0.93
65;100;100;14:29:03:955;3.01;0.94
66;100;100;14:29:04:255;3.05;0.95
67;100;100;14:29:04:555;3.02;0.95
68;100;100;14:29:04:855;3.10;0.96
69;100;100;14:29:04:940;2.97;0.96
70;100;100;14:29:05:160;3.25;0.97
71;100;100;14:29:05:460;3.16;0.97
72;100;100;14:29:05:760;3.13;0.98
73;100;100;14:29:06:060;3.12;0.98
74;100;100;14:29:06:360;3.01;1.00
75;100;100;14:29:06:660;3.27;1.01
76;100;100;14:29:06:875;3.20;1.01
77;100;100;14:29:06:965;3.16;1.02
78;100;100;14:29:07:265;3.20;1.03
79;100;100;14:29:07:565;3.20;1.04
80;100;100;14:29:07:865;3.36;1.05
81;100;100;14:29:08:165;3.48;1.06
82;100;100;14:29:08:355;3.31;1.06
83;100;100;14:29:08:470;3.37;1.07
84;100;100;14:29:08:770;3.37;1.09
85;100;100;14:29:09:045;2.68;1.12
86;100;100;14:29:09:075;2.59;1.13
87;100;100;14:29:09:170;2.29;1.17
88;100;100;14:29:09:240;2.46;1.22
89;100;100;14:29:09:325;2.60;1.27
90;100;100;14:29:09:390;2.74;1.29
91;100;100;14:29:09:455;2.79;1.32
92;100;100;14:29:09:545;2.72;1.37
93;100;100;14:29:09:685;2.82;1.42
94;100;100;14:29:09:705;2.78;1.43
95;100;100;14:29:09:765;2.80;1.47

a5
A5_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:33:56:550;1.67;0.00
2;100;100;14:33:56:915;1.39;0.00
3;100;100;14:33:57:215;1.62;0.00
4;100;100;14:33:57:515;1.63;0.00
5;100;100;14:33:57:815;1.75;0.00
6;100;100;14:33:58:115;1.62;0.00
7;100;100;14:33:58:415;1.59;0.00
8;100;100;14:33:58:715;1.66;0.00
9;100;100;14:33:59:015;1.61;0.00
10;100;100;14:33:59:315;1.69;0.00
11;100;100;14:33:59:615;1.72;0.00
12;100;100;14:33:59:915;1.87;0.00
13;100;100;14:34:00:215;1.77;0.00
14;100;100;14:34:00:515;1.89;0.00
15;100;100;14:34:00:815;1.88;0.00
16;100;100;14:34:01:115;1.81;0.01
17;100;100;14:34:01:415;1.90;0.01
18;100;100;14:34:01:715;1.76;0.02
19;100;100;14:34:02:015;1.84;0.04
20;100;100;14:34:02:280;1.81;0.05
21;100;100;14:34:02:320;1.84;0.05
22;100;100;14:34:02:620;1.84;0.08
23;100;100;14:34:02:800;1.98;0.10
24;100;100;14:34:02:925;1.96;0.11
25;100;100;14:34:03:225;2.00;0.14
26;100;100;14:34:03:250;1.82;0.15
27;100;100;14:34:03:475;1.84;0.20
28;100;100;14:34:03:535;1.94;0.21
29;100;100;14:34:03:775;1.82;0.25
30;100;100;14:34:03:840;1.80;0.26
31;100;100;14:34:03:985;1.95;0.30
32;100;100;14:34:04:145;1.83;0.34
33;100;100;14:34:04:190;1.83;0.35
34;100;100;14:34:04:445;1.81;0.40
35;100;100;14:34:04:455;1.74;0.41
36;100;100;14:34:04:610;1.75;0.45
37;100;100;14:34:04:760;1.98;0.50
38;100;100;14:34:04:775;1.72;0.51
39;100;100;14:34:04:990;1.86;0.56
40;100;100;14:34:05:070;2.04;0.59
41;100;100;14:34:05:120;1.92;0.61
42;100;100;14:34:05:265;2.08;0.66
43;100;100;14:34:05:380;2.01;0.69
44;100;100;14:34:05:435;1.86;0.71
45;100;100;14:34:05:610;1.87;0.76
46;100;100;14:34:05:690;1.90;0.80
47;100;100;14:34:05:715;1.86;0.81
48;100;100;14:34:05:875;2.04;0.86
49;100;100;14:34:06:000;2.15;0.91
50;100;100;14:34:06:020;2.18;0.91
51;100;100;14:34:06:270;2.29;0.96
52;100;100;14:34:06:310;2.31;0.97
53;100;100;14:34:06:610;2.56;1.01
54;100;100;14:34:06:615;2.53;1.01
55;100;100;14:34:06:915;2.73;1.05
56;100;100;14:34:07:105;2.59;1.06
57;100;100;14:34:07:220;2.65;1.07
58;100;100;14:34:07:440;2.90;1.08
59;100;100;14:34:07:525;2.64;1.08
60;100;100;14:34:07:825;2.71;1.09
61;100;100;14:34:08:125;2.65;1.10
62;100;100;14:34:08:425;2.87;1.10
63;100;100;14:34:08:725;2.80;1.11
64;100;100;14:34:09:025;2.96;1.11
65;100;100;14:34:09:295;2.92;1.11
66;100;100;14:34:09:330;2.79;1.11
67;100;100;14:34:09:630;2.87;1.12
68;100;100;14:34:09:930;2.96;1.13
69;100;100;14:34:10:230;2.99;1.13
70;100;100;14:34:10:530;2.95;1.14
71;100;100;14:34:10:830;3.10;1.14
72;100;100;14:34:11:130;3.10;1.15
73;100;100;14:34:11:430;2.96;1.16
74;100;100;14:34:11:540;3.07;1.16
75;100;100;14:34:11:735;3.15;1.17
76;100;100;14:34:12:035;3.12;1.17
77;100;100;14:34:12:335;3.23;1.18
78;100;100;14:34:12:635;3.16;1.18
79;100;100;14:34:12:935;3.10;1.19
80;100;100;14:34:13:235;3.06;1.20
81;100;100;14:34:13:535;3.18;1.21
82;100;100;14:34:13:575;3.17;1.21
83;100;100;14:34:13:840;3.21;1.22
84;100;100;14:34:14:140;3.27;1.23
85;100;100;14:34:14:440;3.20;1.24
86;100;100;14:34:14:740;3.27;1.24
87;100;100;14:34:15:040;3.24;1.25
88;100;100;14:34:15:340;3.33;1.26
89;100;100;14:34:15:505;3.45;1.26
90;100;100;14:34:15:645;3.29;1.27
91;100;100;14:34:15:945;3.35;1.27
92;100;100;14:34:16:130;1.46;1.28
93;100;100;14:34:16:185;2.05;1.31
94;100;100;14:34:16:255;1.86;1.36
95;100;100;14:34:16:265;1.90;1.37
96;100;100;14:34:16:320;2.07;1.42
97;100;100;14:34:16:405;2.00;1.47
98;100;100;14:34:16:460;2.05;1.52
99;100;100;14:34:16:515;2.24;1.57

a6
A6_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:39:29:022;1.41;0.00
2;100;100;14:39:29:336;1.38;0.00
3;100;100;14:39:29:636;1.41;0.00
4;100;100;14:39:29:936;1.54;0.00
5;100;100;14:39:30:236;1.54;0.00
6;100;100;14:39:30:536;1.72;0.00
7;100;100;14:39:30:836;1.62;0.00
8;100;100;14:39:31:136;1.60;0.00
9;100;100;14:39:31:436;1.63;0.00
10;100;100;14:39:31:736;1.50;0.00
11;100;100;14:39:32:036;1.61;0.00
12;100;100;14:39:32:336;1.56;0.00
13;100;100;14:39:32:636;1.77;0.00
14;100;100;14:39:32:936;1.78;0.00
15;100;100;14:39:33:236;1.92;0.00
16;100;100;14:39:33:536;1.87;0.00
17;100;100;14:39:33:836;1.92;0.00
18;100;100;14:39:34:136;1.82;0.01
19;100;100;14:39:34:436;1.83;0.01
20;100;100;14:39:34:736;1.76;0.02
21;100;100;14:39:35:036;1.73;0.03
22;100;100;14:39:35:286;1.89;0.05
23;100;100;14:39:35:341;1.97;0.05
24;100;100;14:39:35:641;1.88;0.07
25;100;100;14:39:35:941;1.94;0.10
26;100;100;14:39:35:961;1.92;0.10
27;100;100;14:39:36:246;1.92;0.13
28;100;100;14:39:36:391;1.90;0.15
29;100;100;14:39:36:551;1.75;0.18
30;100;100;14:39:36:706;1.74;0.20
31;100;100;14:39:36:856;1.96;0.21
32;100;100;14:39:37:036;1.84;0.25
33;100;100;14:39:37:161;1.73;0.29
34;100;100;14:39:37:216;1.76;0.30
35;100;100;14:39:37:466;1.82;0.35
36;100;100;14:39:37:471;1.70;0.35
37;100;100;14:39:37:631;1.94;0.40
38;100;100;14:39:37:776;1.89;0.44
39;100;100;14:39:37:831;1.73;0.45
40;100;100;14:39:38:036;1.80;0.50
41;100;100;14:39:38:086;1.82;0.52
42;100;100;14:39:38:186;1.73;0.56
43;100;100;14:39:38:336;1.73;0.61
44;100;100;14:39:38:396;1.82;0.63
