CoarseGrainedBlock
1;2015-11-12;09:22:57;;;27;05:57:00;
30;1;20
0.0;0.0

c2
Cplane_A60_3_II;sc3ii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
38;100;100;09:23:55:521;2.65;1.75
39;100;100;09:23:55:671;2.86;1.81

a2
A2;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;09:39:48:776;1.45;0.00
2;100;100;09:39:51:176;1.54;0.00
3;100;100;09:39:54:176;1.82;0.00
4;100;100;09:39:55:976;1.88;0.06
5;100;100;09:39:56:326;2.03;0.11
6;100;100;09:39:56:875;2.02;0.16
7;100;100;09:39:57:226;2.03;0.22
8;100;100;09:39:57:375;1.98;0.25
9;100;100;09:39:57:526;1.91;0.28
10;100;100;09:39:57:726;1.98;0.33
11;100;100;09:39:57:926;1.96;0.38
12;100;100;09:39:58:176;1.94;0.43
13;100;100;09:39:58:375;1.97;0.49
14;100;100;09:39:58:526;1.87;0.54
15;100;100;09:39:58:726;1.84;0.60
16;100;100;09:39:58:926;2.07;0.66
17;100;100;09:39:59:076;1.88;0.73
18;100;100;09:39:59:276;2.05;0.80
19;100;100;09:39:59:426;1.94;0.86
20;100;100;09:39:59:625;2.11;0.92
21;100;100;09:39:59:776;2.11;0.98
22;100;100;09:39:59:976;2.12;1.05
23;100;100;09:40:00:125;2.37;1.10
24;100;100;09:40:00:375;2.41;1.17
25;100;100;09:40:00:576;2.39;1.23
26;100;100;09:40:00:776;2.39;1.28
27;100;100;09:40:01:026;2.52;1.34
28;100;100;09:40:01:226;2.66;1.39
29;100;100;09:40:01:375;2.58;1.43
30;100;100;09:40:01:476;2.59;1.45
31;100;100;09:40:01:776;2.75;1.50
32;100;100;09:40:02:076;2.81;1.56
33;100;100;09:40:02:326;2.19;1.61
34;100;100;09:40:02:426;2.29;1.66
35;100;100;09:40:02:576;2.05;1.74
36;100;100;09:40:02:726;2.29;1.81
37;100;100;09:40:02:875;2.37;1.88
38;100;100;09:40:02:976;2.38;1.93
39;100;100;09:40:03:076;2.41;1.98
40;100;100;09:40:03:226;2.31;2.06
41;100;100;09:40:03:375;2.46;2.13

b4
B4;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;12:06:31:902;1.60;0.00
2;100;100;12:06:33:812;1.80;0.00
3;100;5001;12:06:33:862;2.00;0.00
4;100;5002;12:06:41:262;1.98;0.00
5;100;100;12:06:42:812;2.13;0.00
6;100;100;12:06:45:062;1.97;0.05
7;100;100;12:06:45:462;1.98;0.11
8;100;100;12:06:45:862;2.16;0.16
9;100;100;12:06:45:962;2.04;0.18
10;100;100;12:06:46:212;2.03;0.21
11;100;100;12:06:46:412;2.19;0.26
12;100;100;12:06:46:662;2.15;0.32
13;100;100;12:06:46:912;1.98;0.38
14;100;100;12:06:47:112;2.07;0.43
15;100;100;12:06:47:312;2.33;0.49
16;100;100;12:06:47:462;2.02;0.54
17;100;100;12:06:47:662;2.00;0.60
18;100;100;12:06:47:812;2.26;0.65
19;100;100;12:06:47:962;2.05;0.71
20;100;100;12:06:48:162;1.95;0.77
21;100;100;12:06:48:312;2.36;0.83
22;100;100;12:06:48:462;2.19;0.89
23;100;100;12:06:48:612;1.91;0.95
24;100;100;12:06:48:762;2.52;1.00
25;100;100;12:06:48:962;2.75;1.06
26;100;100;12:06:49:162;2.78;1.12
27;100;100;12:06:49:462;2.97;1.17
28;100;100;12:06:49:862;2.88;1.22
29;100;100;12:06:49:912;3.05;1.23
30;100;100;12:06:50:212;3.15;1.25
31;100;100;12:06:50:462;3.03;1.28
32;100;100;12:06:51:212;2.95;1.33
33;100;100;12:06:52:712;3.15;1.38
34;100;100;12:06:53:112;2.99;1.39
35;100;100;12:06:56:112;3.65;1.40
36;100;100;12:06:57:062;3.29;1.43
37;100;100;12:06:57:312;3.55;1.48

b5
B5;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:22:06:681;1.57;0.00
2;100;100;14:22:08:181;1.60;0.00
3;100;100;14:22:11:181;1.68;0.00
